Date,35,46,68,10,25,43,86,66,01
2020-02-01 00:00:00,,62017.76913,28042.77211,,,,16046.42552,,
2020-03-01 00:00:00,,61830.50817,33552.18779,,,,16184.02293,,
2020-04-01 00:00:00,,63299.60738,38345.64098,,,,16332.41483,,
2020-05-01 00:00:00,,66424.09839,40876.07365,,,,16477.31525,,
2020-06-01 00:00:00,,156134.05396,46171.45337,,,,16628.39637,,
2020-07-01 00:00:00,4844.2182,62372.8634,48005.06974,10.97504,,,,,
2020-08-01 00:00:00,40.75097,23451.48498,48927.30094,10.71889,,,,,
2020-09-01 00:00:00,8638.37353,303.79192,49009.86362,,,,,,
2020-10-01 00:00:00,107.60647,45750.25618,47447.36626,145.4978,15412.60335,4303.99444,,,
2020-11-01 00:00:00,16.74529,547.47786,45517.02837,,,,,,
2020-12-01 00:00:00,7818.36836,7076.93788,43492.71115,27.11435,,,,,
2021-02-01 00:00:00,0.12326,2019.23444,39490.66166,43.13428,,,,844.4314,
2021-03-01 00:00:00,,0.12729,41999.38896,133.39125,,,,844.4314,
2021-04-01 00:00:00,35.92463,1006.75925,41557.08237,87.51917,,,,744.7514,
2021-05-01 00:00:00,,4.02158,41116.96668,148.89227,,,,744.7514,
2021-06-01 00:00:00,0.4509,1.08631,40676.91053,44.10155,,,,736.7714,
2021-07-01 00:00:00,,1.46425,40236.96175,60.86169,,,,689.5614,
2021-08-01 00:00:00,,603.05467,39796.94124,8.8997,,,,689.5614,
2021-09-01 00:00:00,,10.44492,39357.01563,0.18171,,,,643.0914,
2021-10-01 00:00:00,9.44014,8.70628,38916.97414,14.18506,,,,632.2752,
2021-11-01 00:00:00,5.34247,601.35124,38476.9903,,,,,632.2752,
2021-12-01 00:00:00,8664.78663,13852.86026,38037.06129,,,,,632.2752,
2022-01-01 00:00:00,10084.93662,13042.64431,37596.99283,,,,,629.4372,
2022-02-01 00:00:00,31.89505,16519.83837,37157.11199,,,,,629.3372,
2022-03-01 00:00:00,,15976.80894,36717.07966,,,,,629.3372,
2022-06-01 00:00:00,,13287.48967,37944.37658,,,,,669.3597,
2022-07-01 00:00:00,,12979.71506,35396.8163,,,,,708.1547,
2022-08-01 00:00:00,,15604.51548,35997.5038,,,,,708.1547,
2022-09-01 00:00:00,,15461.06689,35998.32505,,,,,708.1547,
2022-10-01 00:00:00,,14997.04153,35978.95668,,,,,708.1547,
2022-11-01 00:00:00,,15376.41016,35998.35345,,,,,708.1547,50958.90411
2022-12-01 00:00:00,,15984.39195,35978.99664,,,,,,51027.39726
2023-01-01 00:00:00,,16456.68026,35998.39408,,,,,,
2023-02-01 00:00:00,,20855.84277,35998.49004,,,,,,
2023-03-01 00:00:00,,20185.53465,35940.22385,,,,,,
2023-04-01 00:00:00,,20809.20798,35998.22463,,,,,,
2023-05-01 00:00:00,,21100.67866,35978.85463,,,,,,
2023-06-01 00:00:00,,20547.13913,35995.65248,,,,,,
2023-07-01 00:00:00,,20919.985,35976.89787,,,,,,
2023-08-01 00:00:00,,21058.82724,35996.25983,,,,,,
2023-09-01 00:00:00,,20813.96811,35996.14653,,,,,,
2023-10-01 00:00:00,,20163.58198,35977.07136,,,,,,
2023-11-01 00:00:00,,33841.9396,35996.43625,,,,,,
2023-12-01 00:00:00,,35222.05845,35976.87947,,,,,,
2024-01-01 00:00:00,,37214.21413,35996.55951,,,,,,
2024-02-01 00:00:00,,36222.9744,35994.96752,,,,,,
2024-03-01 00:00:00,,36392.38171,34444.43575,,,,,,
2024-04-01 00:00:00,,37353.71628,32944.76661,,,,,,
2024-05-01 00:00:00,,37459.36603,32013.77291,,,,,,
2024-06-01 00:00:00,,38632.22606,30822.58368,,,,,,
